time,queen,threads,solutions,seconds,microseconds,cpu_temp,gpu_temp
1662838354, 12, 4, 14200, 12, 674307, 58.43, 58.40
1662838368, 12, 4, 14200, 13, 456749, 59.89, 59.90
1662838380, 12, 4, 14200, 12, 604673, 62.81, 63.30
1662838394, 12, 4, 14200, 13, 539916, 65.24, 65.20
1662838407, 12, 4, 14200, 13, 158337, 67.19, 67.20
1662838421, 12, 4, 14200, 13, 442908, 68.65, 68.60
1662838434, 12, 4, 14200, 12, 740195, 70.11, 70.10
1662838447, 12, 4, 14200, 13, 168257, 71.09, 71.50
1662838459, 12, 4, 14200, 12, 657821, 72.55, 72.00
1662838473, 12, 4, 14200, 13, 28, 74.01, 73.50
