time,queen,threads,solutions,seconds,microseconds,cpu_temp,gpu_temp
1662838555, 12, 1, 14200, 47, 617847, 60.86, 61.80
1662838603, 12, 1, 14200, 48, 158930, 60.86, 61.30
1662838651, 12, 1, 14200, 47, 511813, 60.37, 60.30
1662838700, 12, 1, 14200, 49, 85948, 61.84, 61.80
1662838747, 12, 1, 14200, 47, 373175, 61.35, 60.80
1662838795, 12, 1, 14200, 47, 926671, 61.84, 61.80
1662838844, 12, 1, 14200, 48, 881660, 62.32, 60.80
1662838893, 12, 1, 14200, 48, 775210, 61.84, 61.80
1662838941, 12, 1, 14200, 47, 609288, 61.35, 61.30
1662838989, 12, 1, 14200, 48, 197599, 62.32, 62.30
